STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,UNIT_MEASURE,Unit of measure,ACTIVITY,Economic activity,ADJUSTMENT,Adjustment,TRANSFORMATION,Transformation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals,BASE_PER,Base period
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2021-11,,122.39773646,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2022-02,,127.86041498,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2022-04,,134.49744004,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2022-06,,141.4271086,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2022-09,,135.82861762,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2008-02,,91.40393424999999,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2008-04,,94.47588250999999,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2008-07,,100.02694691,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2008-08,,98.41013204,,A,Normal value,0,Units,1,One,2015,
DATAFLOW,OECD.SDD.STES:DSD_KEI@DF_KEI(4.0),Key short-term economic indicators,I,USA,United States,M,Monthly,PP,Producer prices,IX,Index,C,Manufacturing,_Z,Not applicable,_Z,Not applicable,2008-10,,95.28428995,,A,Normal value,0,Units,1,One,2015,
