scenario,variable,year,value_repro,value_paper,diff
3,BCVATGDPV,2018,-0.12825004,-0.11,-0.01825004
3,BCVATGDPV,2019,-0.28314057,-0.25,-0.03314057
3,BCVATGDPV,2020,-0.42416227,-0.38,-0.04416227
3,BGVATGDPV,2018,-0.47176115,-0.46,-0.01176115
3,BGVATGDPV,2019,-0.33899475,-0.32,-0.01899475
3,BGVATGDPV,2020,-0.28721356,-0.26,-0.02721356
3,CG,2018,0.04439202,0.04,0.00439202
3,CG,2019,0.15689239,0.15,0.00689239
3,CG,2020,0.25880502,0.25,0.00880502
3,CGPI,2018,0.04092576,0.04,0.00092576
3,CGPI,2019,0.17092864,0.16,0.01092864
3,CGPI,2020,0.32833207,0.31,0.01833207
3,CGV,2018,0.05113361,0.05,0.00113361
3,CGV,2019,0.28565735,0.27,0.01565735
3,CGV,2020,0.60747196,0.58,0.02747196
3,CP,2018,0.25113999,0.24,0.01113999
3,CP,2019,0.52570187,0.51,0.01570187
3,CP,2020,0.51459661,0.49,0.02459661
3,CPV,2018,0.27257813,0.26,0.01257813
3,CPV,2019,0.74027539,0.73,0.01027539
3,CPV,2020,0.99117492,0.98,0.01117492
3,CUX,2018,1.94901259,1.93,0.01901259
3,CUX,2019,2.08746124,1.89,0.19746124
3,CUX,2020,2.19145012,1.7,0.49145012
3,FXS,2018,-0.05707968,-0.06,0.00292032
3,FXS,2019,-0.23962941,-0.24,0.00037059
3,FXS,2020,-0.47052446,-0.47,-0.00052446
3,GDP,2018,1.04481081,1.05,-0.00518919
3,GDP,2019,1.04618689,1.04,0.00618689
3,GDP,2020,0.98248515,0.95,0.03248515
3,GDPD,2018,1.08106633,1.09,-0.00893367
3,GDPD,2019,-0.06856238,-0.08,0.01143762
3,GDPD,2020,-0.04945802,-0.08,0.03054198
3,GDPGAP,2018,0.93099058,0.93,0.00099058
3,GDPGAP,2019,0.91320981,0.93,-0.01679019
3,GDPGAP,2020,0.86436111,0.88,-0.01563889
3,GDPPOT,2018,0.12747071,0.12,0.00747071
3,GDPPOT,2019,0.13743192,0.11,0.02743192
3,GDPPOT,2020,0.07965666,0.04,0.03965666
3,GDPV,2018,1.13587965,1.14,-0.00412035
3,GDPV,2019,1.35355679,1.35,0.00355679
3,GDPV,2020,1.56317964,1.52,0.04317964
3,IFP,2018,-0.12815257,-0.12,-0.00815257
3,IFP,2019,-0.63823914,-0.62,-0.01823914
3,IFP,2020,-1.16826177,-1.16,-0.00826177
3,IFPV,2018,0.12112911,0.13,-0.00887089
3,IFPV,2019,-0.15889079,-0.1,-0.05889079
3,IFPV,2020,-0.45980908,-0.37,-0.08980908
3,IG,2018,19.42136865,19.41,0.01136865
3,IG,2019,18.64259977,18.59,0.05259977
3,IG,2020,16.77172887,16.67,0.10172887
3,IGV,2018,19.68730612,19.69,-0.00269388
3,IGV,2019,19.21625083,19.22,-0.00374917
3,IGV,2020,17.6719607,17.67,0.0019607
3,IHP,2018,0.29293407,0.2,0.09293407
3,IHP,2019,1.11316846,0.42,0.69316846
3,IHP,2020,1.85486653,0.41,1.44486653
3,IHPV,2018,0.30467264,0.21,0.09467264
3,IHPV,2019,1.3364914,0.65,0.6864914
3,IHPV,2020,2.36914745,0.93,1.43914745
3,KFP,2018,-0.00747548,-0.01,0.00252452
3,KFP,2019,-0.05555477,-0.05,-0.00555477
3,KFP,2020,-0.16230837,-0.16,-0.00230837
3,KG,2018,0.4284713,0.43,-0.0015287
3,KG,2019,1.07803319,1.08,-0.00196681
3,KG,2020,1.66161903,1.66,0.00161903
3,KHP,2018,0.00675979,0.0,0.00675979
3,KHP,2019,0.04633253,0.02,0.02633253
3,KHP,2020,0.12332621,0.04,0.08332621
3,LE,2018,0.24827577,0.23,0.01827577
3,LE,2019,0.30033735,0.25,0.05033735
3,LE,2020,0.27093665,0.19,0.08093665
3,LF,2018,0.21589332,0.2,0.01589332
3,LF,2019,0.25522148,0.21,0.04522148
3,LF,2020,0.22302037,0.15,0.07302037
3,LH,2018,0.2242925,0.28,-0.0557075
3,LH,2019,0.10562189,0.28,-0.17437811
3,LH,2020,0.02337582,0.25,-0.22662418
3,M2CD,2018,0.66469832,0.68,-0.01530168
3,M2CD,2019,0.56026971,0.57,-0.00973029
3,M2CD,2020,0.74223485,0.72,0.02223485
3,MGS,2018,0.4438396,0.38,0.0638396
3,MGS,2019,0.98544434,0.83,0.15544434
3,MGS,2020,1.04501188,0.85,0.19501188
3,MGSV,2018,0.41262713,0.36,0.05262713
3,MGSV,2019,0.88441904,0.74,0.14441904
3,MGSV,2020,0.88211311,0.71,0.17211311
3,NIV,2018,1.4232889,1.43,-0.0067111
3,NIV,2019,1.49964346,1.5,-0.00035654
3,NIV,2020,1.42617634,1.4,0.02617634
3,PCP,2018,0.02134214,0.02,0.00134214
3,PCP,2019,0.21343955,0.22,-0.00656045
3,PCP,2020,0.47415481,0.48,-0.00584519
3,PERR,2018,-0.72394959,-0.69,-0.03394959
3,PERR,2019,-1.83134279,-1.69,-0.14134279
3,PERR,2020,-3.2743492,-3.06,-0.2143492
3,PGDP,2018,0.09011151,0.09,0.00011151
3,PGDP,2019,0.30420815,0.3,0.00420815
3,PGDP,2020,0.57505309,0.56,0.01505309
3,PIFP,2018,0.24964615,0.25,-0.00035385
3,PIFP,2019,0.4825594,0.52,-0.0374406
3,PIFP,2020,0.71688281,0.8,-0.08311719
3,PIHP,2018,0.01166159,0.01,0.00166159
3,PIHP,2019,0.22065067,0.23,-0.00934933
3,PIHP,2020,0.5047938,0.52,-0.0152062
3,PLAND,2018,0.04363603,0.01,0.03363603
3,PLAND,2019,0.21461444,0.1,0.11461444
3,PLAND,2020,0.45714116,0.29,0.16714116
3,PMGS,2018,-0.03101845,-0.03,-0.00101845
3,PMGS,2019,-0.10002964,-0.09,-0.01002964
3,PMGS,2020,-0.16121636,-0.13,-0.03121636
3,PSHARE,2018,-1.0698976,-1.05,-0.0198976
3,PSHARE,2019,-4.37776478,-4.31,-0.06776478
3,PSHARE,2020,-5.91808468,-5.93,0.01191532
3,PXGS,2018,-0.01886075,-0.02,0.00113925
3,PXGS,2019,-0.05402745,-0.09,0.03597255
3,PXGS,2020,-0.06473951,-0.19,0.12526049
3,RCD,2018,0.11683909,0.11,0.00683909
3,RCD,2019,0.22035572,0.22,0.00035572
3,RCD,2020,0.24205675,0.24,0.00205675
3,RGB,2018,0.05481475,0.05,0.00481475
3,RGB,2019,0.10117077,0.1,0.00117077
3,RGB,2020,0.12070137,0.12,0.00070137
3,SBGVATGDPV,2018,-2.27832266,-2.3,0.02167734
3,SBGVATGDPV,2019,-2.45581427,-2.47,0.01418573
3,SBGVATGDPV,2020,-2.77479907,-2.73,-0.04479907
3,TAXV,2018,1.03045925,1.13,-0.09954075
3,TAXV,2019,1.92584059,2.05,-0.12415941
3,TAXV,2020,1.91876593,1.99,-0.07123407
3,TCIV,2018,1.09366685,1.09,0.00366685
3,TCIV,2019,1.35167765,1.33,0.02167765
3,TCIV,2020,1.50998163,1.47,0.03998163
3,TYCV,2018,1.78328743,1.84,-0.05671257
3,TYCV,2019,3.89525782,4.04,-0.14474218
3,TYCV,2020,3.34187124,3.32,0.02187124
3,TYPV,2018,0.86742149,1.16,-0.29257851
3,TYPV,2019,1.46692467,1.79,-0.32307533
3,TYPV,2020,1.53931749,1.85,-0.31068251
3,UCC,2018,-0.51689941,-0.42,-0.09689941
3,UCC,2019,-0.01116297,-0.04,0.02883703
3,UCC,2020,-0.13893029,-0.31,0.17106971
3,UR,2018,-0.03151906,-0.03,-0.00151906
3,UR,2019,-0.0439433,-0.04,-0.0039433
3,UR,2020,-0.04647084,-0.04,-0.00647084
3,WIPH,2018,0.55280074,0.53,0.02280074
